"sample.id";"year";"month";"day";"station.id";"lat";"lon";"depth";"sex";"maturity_stage";"age";"length";"ungutted.weight";"gutted.weight";"liver.weight";"gonad.weight";"species"
44574;1990;3;16;97;65,4938333333333;-12,14075;178,5;"F";1;NA;20;NA;NA;NA;NA;8
44570;1990;3;16;101;65,78675;-11,9021666666667;222;"F";1;NA;23;NA;NA;NA;NA;8
44565;1990;3;16;106;65,8158333333333;-12,5826666666667;158;"M";1;NA;31;NA;NA;NA;NA;8
44565;1990;3;16;106;65,8158333333333;-12,5826666666667;158;"M";1;NA;20;NA;NA;NA;NA;8
44565;1990;3;16;106;65,8158333333333;-12,5826666666667;158;"M";1;NA;36;NA;NA;NA;NA;8
44565;1990;3;16;106;65,8158333333333;-12,5826666666667;158;"M";1;NA;47;NA;NA;NA;NA;8
44564;1990;3;16;107;65,83375;-12,3315833333333;180;"M";1;NA;22;NA;NA;NA;NA;8
44563;1990;3;16;108;65,9159166666667;-12,0629166666667;275,5;"M";1;NA;49;NA;NA;NA;NA;8
44578;1990;3;15;93;65,5161666666667;-12,8185;128;"M";1;NA;52;NA;NA;NA;NA;8
44578;1990;3;15;93;65,5161666666667;-12,8185;128;"F";1;NA;55;NA;NA;NA;NA;8
47970;1991;3;5;1;64,5833333333333;-12,8;159,5;"M";1;NA;41;NA;NA;NA;NA;8
47968;1991;3;5;3;64,5541666666667;-12,5916666666667;169,5;"F";1;NA;44;NA;NA;NA;NA;8
47967;1991;3;5;4;64,5270833333333;-12,8789166666667;152,5;"M";1;NA;55;NA;NA;NA;NA;8
47966;1991;3;5;5;64,54;-13,075;129;"M";1;NA;37;NA;NA;NA;NA;8
47963;1991;3;5;8;64,3945833333333;-13,585;152;"F";1;NA;51;NA;NA;NA;NA;8
47959;1991;3;6;12;64,3;-13,7833333333333;146,5;"F";1;NA;51;NA;NA;NA;NA;8
47957;1991;3;6;14;64,3166666666667;-14,25;110;"M";1;NA;43;NA;NA;NA;NA;8
47956;1991;3;6;15;64,1758333333333;-14,425;143,5;"M";1;NA;60;NA;NA;NA;NA;8
47955;1991;3;6;16;64,2333333333333;-14,5333333333333;128;"F";1;NA;54;NA;NA;NA;NA;8
47948;1991;3;6;23;63,5408333333333;-16,9083333333333;215;"M";1;NA;26;NA;NA;NA;NA;8
47935;1991;3;7;36;63,6666666666667;-15,2083333333333;114,5;"M";1;NA;37;NA;NA;NA;NA;8
47933;1991;3;8;38;63,76875;-14,1925;255;"M";1;NA;63;NA;NA;NA;NA;8
48180;1991;3;8;41;64,0166666666667;-13,5166666666667;156,5;"M";1;NA;36;NA;NA;NA;NA;8
48180;1991;3;8;41;64,0166666666667;-13,5166666666667;156,5;"F";1;NA;39;NA;NA;NA;NA;8
48178;1991;3;8;43;64,15;-13,425;165,5;"M";2;NA;46;NA;NA;NA;NA;8
48176;1991;3;8;45;64,0166666666667;-13,325;384,5;"F";1;NA;44;NA;NA;NA;NA;8
44403;1990;3;6;9;64,33725;-13,3995;79;"F";1;NA;49;NA;NA;NA;NA;8
44402;1990;3;6;10;64,3201666666667;-13,4989166666667;90,5;"F";1;NA;45;NA;NA;NA;NA;8
44398;1990;3;7;14;64,3106666666667;-14,2508333333333;107;"F";1;NA;23;NA;NA;NA;NA;8
44395;1990;3;7;17;64,06425;-14,76875;114;"M";1;NA;46;NA;NA;NA;NA;8
44394;1990;3;7;18;63,8848333333333;-14,8541666666667;179;"F";1;NA;35;NA;NA;NA;NA;8
44393;1990;3;7;19;64,0098333333333;-15,1606666666667;134,5;"F";1;NA;46;NA;NA;NA;NA;8
44389;1990;3;8;23;63,4961666666667;-16,1709166666667;116;"F";1;NA;38;NA;NA;NA;NA;8
44510;1990;3;8;25;63,3843333333333;-16,1808333333333;359;"M";1;NA;55;NA;NA;NA;NA;8
44506;1990;3;8;29;63,6688333333333;-15,1993333333333;112,5;"F";1;NA;40;NA;NA;NA;NA;8
44510;1990;3;8;25;63,3843333333333;-16,1808333333333;359;"M";2;NA;58;NA;NA;NA;NA;8
44509;1990;3;8;26;63,46925;-15,7171666666667;218;"F";1;NA;40;NA;NA;NA;NA;8
44506;1990;3;8;29;63,6688333333333;-15,1993333333333;112,5;"F";1;NA;41;NA;NA;NA;NA;8
44506;1990;3;8;29;63,6688333333333;-15,1993333333333;112,5;"F";1;NA;43;NA;NA;NA;NA;8
44505;1990;3;9;30;63,7038333333333;-14,68675;212,5;"M";1;NA;39;NA;NA;NA;NA;8
44503;1990;3;9;32;63,9485;-14,0086666666667;201,5;"M";1;NA;51;NA;NA;NA;NA;8
44501;1990;3;9;34;64,01975;-13,48775;173,5;"F";1;NA;43;NA;NA;NA;NA;8
44499;1990;3;9;36;64,0596666666667;-13,12075;295,5;"F";1;NA;56;NA;NA;NA;NA;8
44497;1990;3;9;38;64,0641666666667;-13,375;220;"F";1;NA;49;NA;NA;NA;NA;8
44497;1990;3;9;38;64,0641666666667;-13,375;220;"M";1;NA;52;NA;NA;NA;NA;8
44493;1990;3;9;42;64,2004166666667;-12,89125;195,5;"M";1;NA;23;NA;NA;NA;NA;8
44491;1990;3;10;44;64,1593333333333;-12,8506666666667;361,5;"F";1;NA;49;NA;NA;NA;NA;8
44487;1990;3;10;48;64,3113333333333;-12,5384166666667;292,5;"M";1;NA;64;NA;NA;NA;NA;8
44485;1990;3;10;50;64,4113333333333;-12,2551666666667;329;"M";1;NA;41;NA;NA;NA;NA;8
44480;1990;3;11;55;64,6476666666667;-12,33325;170,5;"M";1;NA;34;NA;NA;NA;NA;8
44478;1990;3;11;57;64,74825;-12,6345833333333;171;"M";1;NA;48;NA;NA;NA;NA;8
44476;1990;3;11;59;65,0665833333333;-12,7386666666667;166,5;"M";1;NA;29;NA;NA;NA;NA;8
44470;1990;3;11;65;65,3885;-12,88425;200,5;"M";1;NA;50;NA;NA;NA;NA;8
44469;1990;3;11;66;65,3880833333333;-12,6301666666667;227,5;"F";1;NA;48;NA;NA;NA;NA;8
44468;1990;3;11;67;65,2980833333333;-12,442;195;"M";1;NA;37;NA;NA;NA;NA;8
44466;1990;3;12;69;65,1844166666667;-12,4641666666667;205,5;"M";1;NA;34;NA;NA;NA;NA;8
44460;1990;3;14;75;64,34175;-11,4240833333333;377;"F";1;NA;61;NA;NA;NA;NA;8
44459;1990;3;14;76;64,2795833333333;-11,6568333333333;365;"M";1;NA;31;NA;NA;NA;NA;8
44459;1990;3;14;76;64,2795833333333;-11,6568333333333;365;"F";1;NA;69;NA;NA;NA;NA;8
44459;1990;3;14;76;64,2795833333333;-11,6568333333333;365;"M";1;NA;43;NA;NA;NA;NA;8
44458;1990;3;14;77;64,1571666666667;-11,8198333333333;349;"F";1;NA;49;NA;NA;NA;NA;8
44458;1990;3;14;77;64,1571666666667;-11,8198333333333;349;"F";1;NA;52;NA;NA;NA;NA;8
44457;1990;3;14;78;64,1541666666667;-11,45475;315,5;"F";1;NA;42;NA;NA;NA;NA;8
44456;1990;3;14;79;64,0351666666667;-11,4269166666667;235;"F";1;NA;39;NA;NA;NA;NA;8
44455;1990;3;14;80;63,93875;-11,30375;367;"M";1;NA;62;NA;NA;NA;NA;8
44455;1990;3;14;80;63,93875;-11,30375;367;"M";1;NA;28;NA;NA;NA;NA;8
44454;1990;3;14;81;63,9536666666667;-11,5763333333333;368;"F";1;NA;42;NA;NA;NA;NA;8
44454;1990;3;14;81;63,9536666666667;-11,5763333333333;368;"F";1;NA;33;NA;NA;NA;NA;8
44452;1990;3;15;83;63,8003333333333;-12,1880833333333;406,5;"M";1;NA;56;NA;NA;NA;NA;8
44452;1990;3;15;83;63,8003333333333;-12,1880833333333;406,5;"F";1;NA;39;NA;NA;NA;NA;8
44450;1990;3;15;85;63,4554166666667;-11,7051666666667;398;"M";1;NA;48;NA;NA;NA;NA;8
44445;1990;3;16;90;63,5128333333333;-10,9885;342;"M";1;NA;34;NA;NA;NA;NA;8
44441;1990;3;16;94;64,2725833333333;-11,0739166666667;337,5;"F";1;NA;39;NA;NA;NA;NA;8
44441;1990;3;16;94;64,2725833333333;-11,0739166666667;337,5;"M";1;NA;21;NA;NA;NA;NA;8
44440;1990;3;16;95;64,3311666666667;-11,1024166666667;335;"M";1;NA;37;NA;NA;NA;NA;8
44439;1990;3;16;96;64,2835;-11,2253333333333;323,5;"F";1;NA;39;NA;NA;NA;NA;8
44435;1990;3;17;100;65,0403333333333;-11,8035833333333;223;"M";1;NA;48;NA;NA;NA;NA;8
44649;1990;3;9;7;65,0451666666667;-23,6070833333333;147,5;"F";1;NA;39;NA;NA;NA;NA;8
44644;1990;3;9;12;65,0083333333333;-25,715;166,5;"M";1;NA;67;NA;NA;NA;NA;8
44643;1990;3;9;13;65,0448333333333;-25,9408333333333;170,5;"M";1;NA;56;NA;NA;NA;NA;8
44643;1990;3;9;13;65,0448333333333;-25,9408333333333;170,5;"F";1;NA;46;NA;NA;NA;NA;8
44643;1990;3;9;13;65,0448333333333;-25,9408333333333;170,5;"M";1;NA;43;NA;NA;NA;NA;8
44642;1990;3;10;14;65,22825;-25,945;148;"F";1;NA;34;NA;NA;NA;NA;8
44642;1990;3;10;14;65,22825;-25,945;148;"M";1;NA;49;NA;NA;NA;NA;8
44642;1990;3;10;14;65,22825;-25,945;148;"M";1;NA;58;NA;NA;NA;NA;8
44641;1990;3;10;15;65,3046666666667;-25,8765;141;"M";1;NA;51;NA;NA;NA;NA;8
44639;1990;3;10;17;65,0175;-26,3246666666667;170,5;"F";1;NA;47;NA;NA;NA;NA;8
44635;1990;3;11;21;65,4163333333333;-26,61325;207,5;"F";1;NA;57;NA;NA;NA;NA;8
44753;1990;3;11;24;65,6625;-26,2883333333333;191;"M";1;NA;49;NA;NA;NA;NA;8
